StreetCode,StreetName
132320,TEUNISSEN PLACE
132390,THAMES STREET
132490,THAYER STREET
132510,THEATER ALLEY
132580,THOMAS STREET
132590,THOMPSON STREET
132592,TIBBETT AVENUE
132595,TIEMANN PLACE
132610,TRIMBLE PLACE
132613,TRINITY CEMETERY BOUNDARY
132615,TRINITY PLACE
132620,TUDOR CITY PLACE
132625,UNNAMED STREET
132632,UNION SQUARE EAST
132633,UNION SQUARE WEST
132634,UNION SQUARE SOUTH
132645,UNIVERSITY PLACE
132655,VAN CORLEAR PLACE
132660,VANDAM STREET
132670,VANDERBILT AVENUE
132685,VARICK STREET
132690,VERMILYEA AVENUE
132700,VESEY PLACE
132710,VESTRY STREET
132790,WADSWORTH AVENUE
132890,WADSWORTH TERRACE
132900,WALKER STREET
132910,WALL STREET
132940,WARREN STREET
132985,WASHINGTON MEWS
132990,WASHINGTON PLACE
133090,WASHINGTON SQUARE NORTH
133100,WASHINGTON SQUARE EAST
133190,WASHINGTON SQUARE SOUTH
133290,WASHINGTON SQUARE WEST
133390,WASHINGTON STREET
133400,WASHINGTON TERRACE
133490,WATER STREET
133590,WATTS STREET
133690,WAVERLY PLACE
133790,WEEHAWKEN STREET
133890,WEST 3 STREET
133910,WEST 4 STREET
133930,WEST 8 STREET
133950,WEST 9 STREET
133970,WEST 10 STREET
133990,WEST 11 STREET
134010,WEST 12 STREET
134030,WEST 13 STREET
134050,WEST 14 STREET
134070,WEST 15 STREET
134090,WEST 16 STREET
134110,WEST 17 STREET
134130,WEST 18 STREET
134150,WEST 19 STREET
134170,WEST 20 STREET
134190,WEST 21 STREET
134210,WEST 22 STREET
134230,WEST 23 STREET
134250,WEST 24 STREET
134270,WEST 25 STREET
134290,WEST 26 STREET
134310,WEST 27 DRIVE
134330,WEST 28 STREET
134350,WEST 29 STREET
134370,WEST 30 STREET
134390,WEST 31 STREET
134410,WEST 32 STREET
134430,WEST 33 STREET
134450,WEST 34 STREET
134470,WEST 35 STREET
134490,WEST 36 STREET
134510,WEST 37 STREET
134530,WEST 38 STREET
134550,WEST 39 STREET
134570,WEST 40 STREET
134590,WEST 41 STREET
134610,WEST 42 STREET
134630,WEST 43 STREET
134650,WEST 44 STREET
134670,WEST 45 STREET
134690,WEST 46 STREET
134710,WEST 47 STREET
134730,WEST 48 STREET
134750,WEST 49 STREET
134770,WEST 50 STREET
134790,WEST 51 STREET
134810,WEST 52 STREET
134830,WEST 53 STREET
134850,WEST 54 STREET
134870,WEST 55 STREET
134890,WEST 56 STREET
134910,WEST 57 STREET
134930,WEST 58 STREET
134970,WEST 60 STREET
134980,WEST 61 DRIVE
134990,WEST 61 STREET
135010,WEST 62 STREET
135030,THELONIOUS MONK CIRCLE
135050,WEST 64 STREET
135070,WEST 65 STREET
135090,WEST 66 STREET
135110,WEST 67 STREET
135130,WEST 68 STREET
135150,WEST 69 STREET
135170,WEST 70 STREET
135190,WEST 71 STREET
135210,WEST 72 STREET
135230,WEST 73 STREET
135250,WEST 74 STREET
135270,WEST 75 STREET
135290,WEST 76 STREET
135310,WEST 77 STREET
135330,WEST 78 STREET
135350,WEST 79 STREET
135370,WEST 80 STREET
135390,WEST 81 STREET
135410,WEST 82 STREET
135430,WEST 83 STREET
135450,WEST 84 STREET
135470,WEST 85 STREET
135490,WEST 86 STREET
135510,WEST 87 STREET
135530,WEST 88 STREET
135550,WEST 89 STREET
135570,WEST 90 STREET
135590,WEST 91 STREET
135610,WEST 92 STREET
135630,WEST 93 STREET
135650,WEST 94 STREET
135670,WEST 95 STREET
135690,WEST 96 STREET
135710,WEST 97 STREET
135730,WEST 98 STREET
135750,WEST 99 STREET
135770,WEST 100 STREET
135790,WEST 101 STREET
135810,WEST 102 STREET
135830,WEST 103 STREET
135850,WEST 104 STREET
135870,WEST 105 STREET
135890,WEST 106 STREET
135910,WEST 107 STREET
135930,WEST 108 STREET
135950,WEST 109 STREET
135990,WEST 111 STREET
136010,WEST 112 STREET
136030,WEST 113 STREET
136050,WEST 114 STREET
136070,WEST 115 STREET
136090,WEST 116 STREET
136110,WEST 117 STREET
136130,WEST 118 STREET
136150,WEST 119 STREET
136170,WEST 120 STREET
136190,WEST 121 STREET
136210,WEST 122 STREET
136230,WEST 123 STREET
136240,UNITED NATIONS PLAZA
136250,WEST 124 STREET
136270,WEST 125 STREET
